win_api,index
RtlRemoveVectoredExceptionHandler,273
RtlCreateUserThread,274
EncryptMessage,275
DecryptMessage,276
ExitWindowsEx,277
RtlCompressBuffer,278
NtLoadDriver,279
ActiveXObjectFncObj_Construct,280
InternetOpenUrlW,281
Thread32First,282
Thread32Next,283
MessageBoxTimeoutA,284
InternetGetConnectedStateExW,285
NtQueryMultipleValueKey,286
ReadCabinetState,287
CryptGenKey,288
CryptProtectData,289
CryptUnprotectData,290
CreateRemoteThreadEx,291
NetUserGetInfo,292
NtDeleteFile,293
NtLoadKey,294
RtlDecompressFragment,295
WSAConnect,296
FindFirstFileExA,297
CryptProtectMemory,298
CryptUnprotectMemory,299
DnsQuery_W,300
NtCreateUserProcess,301
CScriptElement_put_src,302
CWindow_AddTimeoutCode,303
CDocument_write,304
CImgElement_put_src,305
CElement_put_innerHTML,306
RtlCreateUserProcess,307
CHyperlink_SetUrlComponent,308
NtMakeTemporaryObject,309
RtlRemoveVectoredContinueHandler,310
system,311
NetUserGetLocalGroups,312
NtUnloadDriver,313
NtCreateDirectoryObject,314
